id,Hate_speech,Target
testCN-0,Los niños con síndrome de Down pueden entorpecer el proceso de desarrollo de otros niños. Deben ser aislados.,DISCAPACITADOS
testCN-1,"Los retrasados de hoy en día son tan estúpidos como cuando eran pequeños. Se creen tan especiales que saben leer, escribir y ser creativos. Ahora es su mundo.",DISCAPACITADOS
testCN-2,Los discapacitados no pueden hacer frente a la vida.,DISCAPACITADOS
testCN-3,"Los discapacitados son diferentes a nosotros, no quiero que me molesten.",DISCAPACITADOS
testCN-4,Los discapacitados físicos merecen ser utilizados.,DISCAPACITADOS
testCN-5,los ciegos no saben lo que pasa,DISCAPACITADOS
testCN-6,Los profesores y los padres deben negar la asistencia a la escuela a los niños con dificultades de aprendizaje.,DISCAPACITADOS
testCN-7,Las personas con discapacidad no deben ser escuchadas.,DISCAPACITADOS
testCN-8,"Los niños discapacitados son una carga para la sociedad: deben ser aislados, para que al menos no obstaculicen la educación de los niños normales.",DISCAPACITADOS
testCN-9,Todos los judíos son criminales.,JUDÍOS
testCN-10,Los judíos son responsables de los atentados del 11-S.,JUDÍOS
testCN-11,Los judíos se diferencian de nosotros en que les gusta aprovecharse de los demás.,JUDÍOS
testCN-12,Los judíos no son más que criminales,JUDÍOS
testCN-13,A los judíos se les da mejor ser furtivos que honestos.,JUDÍOS
testCN-14,"No soy un promotor del nazismo ni hago apología de la Shoah, pero, al fin y al cabo, los judíos son la fuente de todos los problemas del mundo.",JUDÍOS
testCN-15,"Las estructuras de poder judías dominan el gobierno mundial, controlan el Congreso, controlan los medios de comunicación y controlan el mundo académico. Los judíos son los únicos que pueden conseguir que se haga algo.",JUDÍOS
testCN-16,Los judíos son un problema en muchos países. Se están apoderando de nuestra economía y no son bienvenidos aquí.,JUDÍOS
testCN-17,Los judíos son un puñado de tacaños que controlan nuestra sociedad.,JUDÍOS
testCN-18,¿Por qué los gays no intentan curarse?,LGBT+
testCN-19,La homosexualidad es incompatible con los modos de vida de Europa.,LGBT+
testCN-20,Que aceptemos la homosexualidad no significa que tengamos que aceptar también a los transexuales.,LGBT+
testCN-21,¿Qué sentido tiene amar a alguien si no se le puede amar de forma heterosexual?,LGBT+
testCN-22,los gays son sólo sexo,LGBT+
testCN-23,Los homosexuales son menos que humanos.,LGBT+
testCN-24,"Los maricones no son bienvenidos entre nosotros, los humanos, porque son diferentes.",LGBT+
testCN-25,La Biblia dice que la homosexualidad es una abominación,LGBT+
testCN-26,Los LGBT son un lastre para la sociedad.,LGBT+
testCN-27,"Los gays deben dejar de actuar como princesas paseando por las calles. Si no, debemos detenerlos.",LGBT+
testCN-28,El mundo sería un lugar mejor sin inmigrantes.,MIGRANTES
testCN-29,Los inmigrantes y refugiados no comparten nuestros valores religiosos.,MIGRANTES
testCN-30,Los inmigrantes están invadiendo nuestro país. No son bienvenidos aquí.,MIGRANTES
testCN-31,extranjeros e inmigrantes nos quitan el trabajo,MIGRANTES
